,ProductID,Date,Zip,Units,Revenue
0,1076,1/20/2014,72638,1,"2,545,725"
1,1076,1/21/2014,47577,1,"2,545,725"
2,1076,1/28/2014,34653,1,"2,545,725"
3,1076,1/31/2014,84014,1,"2,545,725"
4,1076,2/1/2014,75070,1,"2,545,725"
5,1076,2/1/2014,87031,1,"2,545,725"
6,1076,2/3/2014,72019,1,"2,545,725"
7,1076,2/3/2014,72086,1,"2,545,725"
8,1076,2/3/2014,77089,2,"509,145"
9,1076,2/9/2014,7649,1,"2,545,725"
10,1076,2/11/2014,79705,1,"2,545,725"
11,1076,2/14/2014,92624,1,"2,545,725"
12,1076,2/22/2014,8527,1,"2,545,725"
13,1076,2/22/2014,8816,1,"2,545,725"
14,1076,2/23/2014,24740,1,"2,545,725"
15,1076,2/24/2014,63023,1,"2,545,725"
16,1076,2/25/2014,32503,1,"2,545,725"
17,1076,2/25/2014,93523,1,"2,545,725"
18,1076,2/25/2014,93657,1,"2,545,725"
19,1076,2/28/2014,54139,1,"2,545,725"
20,1076,2/28/2014,64060,1,"2,545,725"
21,1076,2/28/2014,83236,1,"2,545,725"
22,1076,2/28/2014,92340,1,"2,545,725"
23,1076,3/1/2014,82801,2,"509,145"
24,1076,3/1/2014,91362,1,"2,545,725"
25,1076,3/3/2014,53158,1,"2,545,725"
26,1076,3/3/2014,92345,1,"2,545,725"
27,1076,3/6/2014,55304,1,"2,545,725"
28,1076,3/9/2014,36869,1,"2,545,725"
29,1076,3/15/2014,78737,1,"2,545,725"
30,1076,3/16/2014,58703,1,"2,545,725"
31,1076,3/22/2014,57013,1,"2,545,725"
32,1076,3/22/2014,87111,1,"2,545,725"
33,1076,3/24/2014,73526,1,"2,545,725"
34,1076,3/27/2014,26285,1,"2,545,725"
35,1076,3/28/2014,2895,1,"2,545,725"
36,1076,3/29/2014,8753,1,"2,545,725"
37,1076,3/30/2014,42566,1,"2,545,725"
38,1076,3/30/2014,54013,1,"2,545,725"
39,1076,3/31/2014,71369,1,"2,545,725"
40,1076,4/3/2014,77373,1,"2,545,725"
41,1076,4/4/2014,35058,1,"2,545,725"
42,1076,4/4/2014,73942,1,"2,545,725"
43,1076,4/4/2014,79705,1,"2,545,725"
44,1076,4/6/2014,55414,1,"2,545,725"
45,1076,4/6/2014,57106,1,"2,545,725"
46,1076,4/6/2014,66834,1,"2,545,725"
47,1076,4/10/2014,65049,1,"2,545,725"
48,1076,4/10/2014,89419,1,"2,545,725"
49,1076,4/13/2014,97504,1,"2,545,725"
50,1076,4/17/2014,65536,1,"2,545,725"
51,1076,4/19/2014,21244,1,"2,545,725"
52,1076,4/19/2014,89801,1,"2,545,725"
53,1076,4/24/2014,5777,1,"2,545,725"
54,1076,4/24/2014,34667,1,"2,545,725"
55,1076,4/24/2014,56701,1,"2,545,725"
56,1076,4/27/2014,69339,1,"2,545,725"
57,1076,5/1/2014,68505,1,"2,545,725"
58,1076,5/2/2014,7825,1,"2,545,725"
59,1076,5/2/2014,70053,1,"2,545,725"
60,1076,5/4/2014,25559,1,"2,545,725"
61,1076,5/5/2014,33178,1,"2,545,725"
62,1076,5/9/2014,94551,2,"509,145"
63,1076,5/10/2014,50501,1,"2,545,725"
64,1076,5/12/2014,38501,1,"2,545,725"
65,1076,5/15/2014,67857,1,"2,545,725"
66,1076,5/16/2014,63077,1,"2,545,725"
67,1076,5/19/2014,2723,1,"2,545,725"
68,1076,5/19/2014,99615,1,"2,545,725"
69,1076,5/23/2014,91910,1,"2,545,725"
70,1076,5/24/2014,77461,1,"2,545,725"
71,1076,5/26/2014,41514,1,"2,545,725"
72,1076,5/30/2014,54762,1,"2,545,725"
73,1076,5/30/2014,75711,1,"2,545,725"
74,1076,5/30/2014,85308,1,"2,545,725"
75,1076,5/31/2014,85224,1,"2,545,725"
76,1076,6/6/2014,26257,1,"2,545,725"
77,1076,6/6/2014,41858,1,"2,545,725"
78,1076,6/6/2014,97756,1,"2,545,725"
79,1076,6/7/2014,78628,1,"2,545,725"
80,1076,6/8/2014,21222,1,"2,545,725"
81,1076,6/14/2014,20777,1,"2,545,725"
82,1076,6/14/2014,32303,1,"2,545,725"
83,1076,6/14/2014,66085,1,"2,545,725"
84,1076,6/16/2014,7470,1,"2,545,725"
85,1076,6/16/2014,21237,1,"2,545,725"
86,1076,6/20/2014,21046,1,"2,545,725"
87,1076,6/21/2014,6082,1,"2,545,725"
88,1076,6/28/2014,1581,1,"2,545,725"
89,1076,6/29/2014,93515,1,"2,545,725"
90,1076,7/5/2014,55011,1,"2,545,725"
91,1076,7/6/2014,21122,1,"2,545,725"
92,1076,7/7/2014,21702,1,"2,545,725"
93,1076,7/11/2014,35087,1,"2,545,725"
94,1076,7/12/2014,72022,2,"509,145"
95,1076,7/31/2014,32571,1,"2,545,725"
96,1076,8/3/2014,75414,1,"2,545,725"
97,1085,12/2/2019,76234,1,"891,975"
98,1085,12/2/2019,85301,1,"891,975"
99,1085,12/5/2019,32341,1,"891,975"
100,1085,12/5/2019,90745,1,"891,975"
101,1085,12/5/2019,91325,2,"178,395"
102,1085,12/6/2019,21061,2,"178,395"
103,1085,12/6/2019,21225,1,"891,975"
104,1085,12/6/2019,32765,1,"891,975"
105,1085,12/6/2019,93033,2,"178,395"
106,1085,12/6/2019,93103,1,"891,975"
107,1085,12/7/2019,58504,1,"891,975"
108,1085,12/7/2019,92346,1,"891,975"
109,1085,12/8/2019,35242,1,"891,975"
110,1085,12/8/2019,37072,1,"891,975"
111,1085,12/8/2019,38655,1,"891,975"
112,1085,12/8/2019,40701,1,"891,975"
113,1085,12/8/2019,83709,1,"891,975"
114,1085,12/8/2019,92109,1,"891,975"
115,1085,12/8/2019,92694,1,"891,975"
116,1085,12/8/2019,97131,1,"891,975"
117,1085,12/9/2019,29153,1,"891,975"
118,1085,12/12/2019,42754,1,"891,975"
119,1085,12/12/2019,65243,1,"865,725"
120,1085,12/12/2019,70560,1,"891,975"
121,1085,12/12/2019,91384,1,"891,975"
122,1085,12/12/2019,91910,1,"891,975"
123,1085,12/12/2019,95377,1,"891,975"
124,1085,12/13/2019,29520,1,"891,975"
125,1085,12/13/2019,35242,1,"891,975"
126,1085,12/13/2019,92301,1,"891,975"
127,1085,12/13/2019,92329,1,"891,975"
128,1085,12/13/2019,95630,1,"891,975"
129,1085,12/14/2019,34614,1,"891,975"
130,1085,12/14/2019,91350,1,"891,975"
131,1085,12/14/2019,92316,1,"891,975"
